execution,root,checkpoint,initiator,participants
f01_reject,0,decision,StudentAgent.t_AcceptCredential,"CompetencyNet.t_SBT_Accept,CredentialObject.t_Accept,HEDULedgerNet.t_Execute,StudentAgent.t_AcceptCredential,WalletNet.t_AcceptCredential"
f01_reject,0,decision,CompetencyNet.t_SBT_Cancel,"CompetencyNet.t_SBT_Cancel,CredentialObject.t_Cancel,StudentAgent.t_AbortReceived,WalletNet.t_AbortConsent"
f01_reject,0,before:StudentAgent.t_RejectCredential,StudentAgent.t_RejectCredential,"CompetencyNet.t_SBT_Reject,CredentialObject.t_Reject,StudentAgent.t_RejectCredential,WalletNet.t_RejectCredential"
f01_reject,0,before:StudentAgent.t_RejectCredential,StudentAgent.t_AcceptCredential,"CompetencyNet.t_SBT_Accept,CredentialObject.t_Accept,HEDULedgerNet.t_Execute,StudentAgent.t_AcceptCredential,WalletNet.t_AcceptCredential"
f01_reject,0,before:StudentAgent.t_RejectCredential,CompetencyNet.t_SBT_Cancel,"CompetencyNet.t_SBT_Cancel,CredentialObject.t_Cancel,StudentAgent.t_AbortReceived,WalletNet.t_AbortConsent"
f01_cancel,0,before:StudentAgent.t_SubmitEvidence,StudentAgent.t_SubmitEvidence,"EvidenceNet.t_IPFS_Upload,EvidenceObject.t_IPFS_Upload,ProfessorAgent.t_ReceiveEvidence,StudentAgent.t_SubmitEvidence"
f01_cancel,0,before:EvidenceNet.t_LMS_Submit,EvidenceNet.t_LMS_Submit,"EvidenceNet.t_LMS_Submit,EvidenceObject.t_LMS_Submit"
f01_cancel,0,before:EvidenceNet.t_LMS_Submit,StudentAgent.t_WaitCredential,StudentAgent.t_WaitCredential
f01_cancel,0,before:EvidenceNet.t_LMS_Submit,ProfessorAgent.t_StartReview,ProfessorAgent.t_StartReview
f01_cancel,0,before:EvidenceNet.t_Review_Request,EvidenceNet.t_Review_Request,EvidenceNet.t_Review_Request
f01_cancel,0,before:EvidenceNet.t_Review_Request,StudentAgent.t_WaitCredential,StudentAgent.t_WaitCredential
f01_cancel,0,before:EvidenceNet.t_Review_Request,ProfessorAgent.t_StartReview,ProfessorAgent.t_StartReview
